Genus	Species	Marker	Sequence_Count
Anemone	narcissiflora	trnL-trnF.txt	7
Anemone	patens	accD.txt	4
Anemone	patens	matK.txt	35
Anemone	patens	rbcL.txt	43
Anemone	patens	trnL-trnF.txt	5
Anethum	foeniculum	matK.txt	15
Anethum	foeniculum	rbcL.txt	21
Angelica	heterocarpa	ndhF.txt	4
Angelica	sylvestris	matK.txt	4
Angelica	sylvestris	ndhF.txt	5
Angelica	sylvestris	rbcL.txt	5
Antennaria	alpina	matK.txt	4
Antennaria	alpina	rbcL.txt	7
Antennaria	dioica	matK.txt	4
Antennaria	lanata	matK.txt	4
Antennaria	lanata	rbcL.txt	4
Anthemis	cretica	ITS.txt	7
Anthemis	cretica	ITS1.txt	6
Anthemis	cretica	ITS2.txt	6
Anthemis	cretica	psbA-trnH.txt	6
Anthemis	cupaniana	ITS.txt	4
Anthemis	cupaniana	ITS1.txt	4
Anthemis	cupaniana	ITS2.txt	4
Anthemis	pedunculata	ITS.txt	4
Anthoxanthum	amarum	trnL-trnF.txt	7
Anthoxanthum	arcticum	matK.txt	8
Anthoxanthum	arcticum	rbcL.txt	8
Anthoxanthum	aristatum	trnL-trnF.txt	4
Anthoxanthum	gracile	trnL-trnF.txt	4
Anthoxanthum	monticola	matK.txt	10
Anthoxanthum	monticola	rbcL.txt	12
Anthoxanthum	nitens	matK.txt	5
Anthoxanthum	nitens	rbcL.txt	5
Anthoxanthum	odoratum	matK.txt	13
Anthoxanthum	odoratum	rbcL.txt	13
Anthoxanthum	odoratum	trnL-trnF.txt	14
Anthoxanthum	ovatum	trnL-trnF.txt	12
Anthriscus	caucalis	matK.txt	4
Anthriscus	caucalis	rbcL.txt	5
Anthriscus	caucalis	trnL-trnF.txt	10
Anthriscus	cerefolium	trnL-trnF.txt	9
Anthriscus	sylvestris	matK.txt	6
Anthriscus	sylvestris	rbcL.txt	12
Anthriscus	sylvestris	trnL-trnF.txt	18
Anthyllis	montana	5.8SrRNA.txt	12
Anthyllis	montana	ITS.txt	18
Anthyllis	montana	ITS1.txt	15
Anthyllis	montana	ITS2.txt	15
Anthyllis	vulneraria	ITS.txt	26
Anthyllis	vulneraria	ITS1.txt	13
Anthyllis	vulneraria	ITS2.txt	13
Anthyllis	vulneraria	matK.txt	5
Anthyllis	vulneraria	rbcL.txt	7
Antirrhinum	charidemi	matK.txt	8
Antirrhinum	charidemi	psbA-trnH.txt	4
Antirrhinum	charidemi	trnK.txt	8
Antirrhinum	controversum	matK.txt	8
Antirrhinum	controversum	psbA-trnH.txt	8
Antirrhinum	controversum	trnK.txt	8
Antirrhinum	graniticum	matK.txt	4
Antirrhinum	graniticum	trnK.txt	4
Antirrhinum	latifolium	matK.txt	10
Antirrhinum	latifolium	psbA-trnH.txt	5
Antirrhinum	latifolium	trnK.txt	9
Antirrhinum	majus	matK.txt	85
Antirrhinum	majus	psbA-trnH.txt	10
Antirrhinum	majus	rbcL.txt	7
Antirrhinum	majus	trnK.txt	82
Antirrhinum	molle	matK.txt	9
Antirrhinum	molle	trnK.txt	9
Antirrhinum	pulverulentum	matK.txt	7
Antirrhinum	pulverulentum	psbA-trnH.txt	6
Antirrhinum	pulverulentum	trnK.txt	7
Antirrhinum	sempervirens	matK.txt	5
Antirrhinum	sempervirens	trnK.txt	5
Antirrhinum	siculum	matK.txt	5
Antirrhinum	siculum	psbA-trnH.txt	5
Antirrhinum	siculum	trnK.txt	4
Antirrhinum	tortuosum	matK.txt	6
Antirrhinum	tortuosum	psbA-trnH.txt	5
Antirrhinum	tortuosum	trnK.txt	6
Antirrhinum	valentinum	matK.txt	5
Antirrhinum	valentinum	psbA-trnH.txt	5
Antirrhinum	valentinum	trnK.txt	5
Apera	spica-venti	matK.txt	4
Apium	graveolens	WGS.txt	671
Apium	graveolens	matK.txt	5
Apium	graveolens	rbcL.txt	5
Aquilegia	vulgaris	rbcL.txt	9
Arabidopsis	arenosa	Adh.txt	33
Arabidopsis	arenosa	CHS.txt	42
Arabidopsis	arenosa	WGS.txt	8
Arabidopsis	arenosa	trnL-trnF.txt	16
Arabidopsis	halleri	CHS.txt	70
Arabidopsis	halleri	F3H.txt	10
Arabidopsis	halleri	WGS.txt	0
Arabidopsis	thaliana	CHS.txt	29
Arabidopsis	thaliana	LEAFY.txt	4
Arabidopsis	thaliana	WGS.txt	538
Arabidopsis	thaliana	matK.txt	6
Arabidopsis	thaliana	rbcL.txt	10
Arabis	alpina	WGS.txt	27709
Arabis	alpina	matK.txt	17
Arabis	alpina	rbcL.txt	19
Arabis	alpina	trnL-trnF.txt	5
Arabis	auriculata	trnL-trnF.txt	4
Arabis	bryoides	trnL-trnF.txt	4
Arabis	ciliata	trnL-trnF.txt	7
Arabis	collina	trnL-trnF.txt	6
Arabis	hirsuta	matK.txt	5
Arabis	hirsuta	rbcL.txt	6
Arabis	hirsuta	trnL-trnF.txt	74
Arabis	juressi	trnL-trnF.txt	8
Arabis	sagittata	trnL-trnF.txt	25
Arabis	soyeri	trnL-trnF.txt	6
Arabis	stenocarpa	trnL-trnF.txt	5
Arabis	verna	trnL-trnF.txt	7
Arbutus	unedo	rbcL.txt	4
Arctagrostis	latifolia	matK.txt	26
Arctagrostis	latifolia	rbcL.txt	21
Arctagrostis	latifolia	rpoB.txt	4
Arctagrostis	latifolia	trnL-trnF.txt	4
Arctanthemum	arcticum	matK.txt	8
Arctanthemum	arcticum	rbcL.txt	7
Arctium	lappa	WGS.txt	287
